"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393538","Presentation","2015-03-30","civilpartnershipact2004amendment.html","http://services.parliament.uk/bills/civilpartnershipact2004amendment.html","Civil Partnership Act 2004 (Amendment)","2014-2015","Tim Loughton","Civil Partnership Act 2004 (Amendment)"
"http://data.parliament.uk/resources/393539","Presentation","2015-03-30","recallofelectedrepresentatives.html","http://services.parliament.uk/bills/recallofelectedrepresentatives.html","Recall of Elected Representatives","2014-2015","Zac Goldsmith","Recall of Elected Representatives"
"http://data.parliament.uk/resources/393540","Presentation","2015-03-30","affordablehousingcontributionstenunitthreshold.html","http://services.parliament.uk/bills/affordablehousingcontributionstenunitthreshold.html","Affordable Housing Contributions (Ten Unit Threshold)","2014-2015","Tim Farron","Affordable Housing Contributions (Ten Unit Threshold)"
"http://data.parliament.uk/resources/393541","Ten Minute Rule","2015-03-30","servicechargesgratuitiesandcoverchargeshospitalityleisureandservicesectorsstatutorycode.html","http://services.parliament.uk/bills/servicechargesgratuitiesandcoverchargeshospitalityleisureandservicesectorsstatutorycode.html","Service Charges, Gratuities and Cover Charges (Hospitality, Leisure and Service Sectors) (Statutory Code)","2014-2015","Andrew Percy","Service Charges, Gratuities and Cover Charges (Hospitality, Leisure and Service Sectors) (Statutory Code)"
"http://data.parliament.uk/resources/393543","Presentation","2015-03-30","mobilephonesandotherdevicescapableofconnectiontotheinternetdistributionofsexuallyexplicitimagesandmanufacturersantipornographydefaultsetting.html","http://services.parliament.uk/bills/mobilephonesandotherdevicescapableofconnectiontotheinternetdistributionofsexuallyexplicitimagesandmanufacturersantipornographydefaultsetting.html","Mobile Phones and Other Devices Capable of Connection to the Internet (Distribution of Sexually Explicit Images and Manufacturers’ Anti-Pornography Default Setting)","2014-2015","Geraint Davies","Mobile Phones and Other Devices Capable of Connection to the Internet (Distribution of Sexually Explicit Images and Manufacturers’ Anti-Pornography Default Setting)"
"http://data.parliament.uk/resources/393544","Presentation","2015-03-30","houseofcommonsmembersfund.html","http://services.parliament.uk/bills/houseofcommonsmembersfund.html","House of Commons Members’ Fund","2014-2015","Peter Lilley","House of Commons Members’ Fund"
"http://data.parliament.uk/resources/393548","Ten Minute Rule","2015-03-30","carersbedroomentitlementsocialhousingsector.html","http://services.parliament.uk/bills/carersbedroomentitlementsocialhousingsector.html","Carers Bedroom Entitlement (Social Housing Sector)","2014-2015","Barbara Keeley","Carers Bedroom Entitlement (Social Housing Sector)"
"http://data.parliament.uk/resources/393549","Ten Minute Rule","2015-03-30","mentalhealthact1983amendment.html","http://services.parliament.uk/bills/mentalhealthact1983amendment.html","Mental Health Act 1983 (Amendment)","2014-2015","Sir Paul Beresford","Mental Health Act 1983 (Amendment)"
"http://data.parliament.uk/resources/393550","Presentation","2015-03-30","generalpractitionersurgeriesruralareas.html","http://services.parliament.uk/bills/generalpractitionersurgeriesruralareas.html","General Practitioner Surgeries (Rural Areas)","2014-2015","Tim Farron","General Practitioner Surgeries (Rural Areas)"
"http://data.parliament.uk/resources/393551","Ten Minute Rule","2015-03-30","sexandrelationshipseducationcurriculum.html","http://services.parliament.uk/bills/sexandrelationshipseducationcurriculum.html","Sex and Relationships Education (Curriculum)","2014-2015","Diana Johnson","Sex and Relationships Education (Curriculum)"
"http://data.parliament.uk/resources/393552","Presentation","2015-03-30","electroniccigarettesadvertisingandlegalageofpurchase.html","http://services.parliament.uk/bills/electroniccigarettesadvertisingandlegalageofpurchase.html","Electronic Cigarettes (Advertising and Legal Age of Purchase)","2014-2015","Geraint Davies","Electronic Cigarettes (Advertising and Legal Age of Purchase)"
"http://data.parliament.uk/resources/393553","Ten Minute Rule","2015-03-30","blooddonationequality.html","http://services.parliament.uk/bills/blooddonationequality.html","Blood Donation (Equality)","2014-2015","Michael Fabricant","Blood Donation (Equality)"
"http://data.parliament.uk/resources/393554","Presentation","2015-03-30","internationaltradeagreementsscrutiny.html","http://services.parliament.uk/bills/internationaltradeagreementsscrutiny.html","International Trade Agreements (Scrutiny)","2014-2015","Geraint Davies","International Trade Agreements (Scrutiny)"
"http://data.parliament.uk/resources/393555","Ten Minute Rule","2015-03-30","schoolgovernorsappointment.html","http://services.parliament.uk/bills/schoolgovernorsappointment.html","School Governors (Appointment)","2014-2015","Neil Carmichael","School Governors (Appointment)"
"http://data.parliament.uk/resources/393556","Ten Minute Rule","2015-03-30","railwayspublicsectoroperators.html","http://services.parliament.uk/bills/railwayspublicsectoroperators.html","Railways (Public Sector Operators)","2014-2015","Andy Sawford","Railways (Public Sector Operators)"
"http://data.parliament.uk/resources/393557","Ten Minute Rule","2015-03-30","abortionsexselection.html","http://services.parliament.uk/bills/abortionsexselection.html","Abortion (Sex-Selection)","2014-2015","Fiona Bruce","Abortion (Sex-Selection)"
